👨‍🎓课堂,#genre#
空中课堂-一年级[1920*1080],http://117.148.179.182/PLTV/88888888/224/3221231721/index.m3u8
空中课堂-二年级[1920*1080],http://117.148.179.172/PLTV/88888888/224/3221231663/index.m3u8
空中课堂-三年级[1920*1080],http://117.148.179.163/PLTV/88888888/224/3221231739/index.m3u8
空中课堂-四年级[1920*1080],http://117.148.179.165/PLTV/88888888/224/3221231748/index.m3u8
空中课堂-五年级[1920*1080],http://117.148.179.165/PLTV/88888888/224/3221231766/index.m3u8
空中课堂-六年级[1920*1080],http://117.148.179.167/PLTV/88888888/224/3221231796/index.m3u8
空中课堂-七年级[1920*1080],http://117.148.179.156/PLTV/88888888/224/3221231781/index.m3u8
空中课堂-八年级[1920*1080],http://117.148.179.155/PLTV/88888888/224/3221231691/index.m3u8
空中课堂-九年级[1920*1080],http://117.148.179.174/PLTV/88888888/224/3221231642/index.m3u8
空中课堂-高一年级[1920*1080],http://117.148.179.160/PLTV/88888888/224/3221231705/index.m3u8
空中课堂-高二年级[1920*1080],http://117.148.179.179/PLTV/88888888/224/3221231630/index.m3u8
空中课堂-高三年级[1920*1080],http://117.148.179.166/PLTV/88888888/224/3221231690/index.m3u8
一年级,http://liveplay-kk.rtxapp.com/live/program/live/kkyinj/1300000/mnf.m3u8
一年级,https://keonline.shanghai.liveplay.qq.com/live/program/live/kkyinj/1300000/mnf.m3u8
二年级,http://liveplay-kk.rtxapp.com/live/program/live/kkernj/1300000/mnf.m3u8
二年级,https://keonline.shanghai.liveplay.qq.com/live/program/live/kkernj/1300000/mnf.m3u8
三年级,http://liveplay-kk.rtxapp.com/live/program/live/kksannj/1300000/mnf.m3u8
三年级,https://keonline.shanghai.liveplay.qq.com/live/program/live/kksannj/1300000/mnf.m3u8
四年级,http://liveplay-kk.rtxapp.com/live/program/live/kksinj/1300000/mnf.m3u8
四年级,https://keonline.shanghai.liveplay.qq.com/live/program/live/kksinj/1300000/mnf.m3u8
五年级,http://liveplay-kk.rtxapp.com/live/program/live/kkwunj/1300000/mnf.m3u8
五年级,https://keonline.shanghai.liveplay.qq.com/live/program/live/kkwunj/1300000/mnf.m3u8
六年级,http://liveplay-kk.rtxapp.com/live/program/live/kkliunj/1300000/mnf.m3u8
